"size","sim","serie","p1","p2","p3"
100,22,"x5",27,21,8
100,22,"x6",28,26,21
100,22,"x7",28,17,12
100,22,"x8",25,5,0
100,22,"x9",25,24,23
100,22,"x10",28,27,23
100,22,"x11",26,25,23
100,22,"x12",29,18,16
100,22,"x13",28,21,6
100,22,"x14",18,0,0
100,23,"x1",0,0,0
100,23,"x2",27,22,21
100,23,"x3",28,22,16
100,23,"x4",25,24,19
100,23,"x5",29,22,20
100,23,"x6",29,23,21
100,23,"x7",27,4,1
100,23,"x8",21,16,9
100,23,"x9",23,21,20
100,23,"x10",27,26,19
100,23,"x11",15,12,10
100,23,"x12",26,10,5
100,23,"x13",28,25,24
100,23,"x14",27,0,0
100,24,"x1",25,19,3
100,24,"x2",25,24,23
100,24,"x3",21,19,15
100,24,"x4",26,23,22
100,24,"x5",23,20,9
100,24,"x6",29,27,25
100,24,"x7",28,27,15
100,24,"x8",29,26,2
100,24,"x9",29,22,11
100,24,"x10",28,25,23
100,24,"x11",0,0,0
100,24,"x12",29,20,19
100,24,"x13",28,21,11
100,24,"x14",24,22,20
100,25,"x1",0,0,0
100,25,"x2",28,26,0
100,25,"x3",25,24,19
100,25,"x4",27,25,10
100,25,"x5",19,16,0
100,25,"x6",25,19,16
100,25,"x7",22,15,14
100,25,"x8",29,26,16
100,25,"x9",27,24,22
100,25,"x10",28,25,22
100,25,"x11",29,18,10
100,25,"x12",22,12,9
100,25,"x13",27,22,8
100,25,"x14",29,28,0
100,26,"x1",20,16,0
100,26,"x2",15,0,0
100,26,"x3",14,0,0
100,26,"x4",29,4,0
100,26,"x5",10,8,0
100,26,"x6",23,17,14
100,26,"x7",26,21,17
100,26,"x8",26,21,13
100,26,"x9",25,24,16
100,26,"x10",29,20,12
100,26,"x11",26,0,0
100,26,"x12",1,0,0
100,26,"x13",28,26,23
100,26,"x14",29,0,0
100,27,"x1",25,4,0
100,27,"x2",27,25,6
100,27,"x3",22,21,16
100,27,"x4",29,28,27
100,27,"x5",29,28,27
100,27,"x6",29,28,25
100,27,"x7",13,7,1
100,27,"x8",28,21,9
100,27,"x9",0,0,0
100,27,"x10",20,7,0
100,27,"x11",24,23,11
100,27,"x12",26,23,22
100,27,"x13",27,16,13
100,27,"x14",23,0,0
100,28,"x1",22,11,9
100,28,"x2",21,4,0
100,28,"x3",27,15,12
100,28,"x4",29,8,7
100,28,"x5",21,11,5
100,28,"x6",20,11,0
100,28,"x7",19,1,0
100,28,"x8",26,11,10
100,28,"x9",29,18,0
100,28,"x10",22,19,6
100,28,"x11",28,0,0
100,28,"x12",28,27,22
100,28,"x13",23,14,4
100,28,"x14",26,17,12
100,29,"x1",28,24,0
100,29,"x2",16,11,10
100,29,"x3",26,20,6
100,29,"x4",24,0,0
100,29,"x5",23,18,17
100,29,"x6",29,28,27
100,29,"x7",22,20,8
100,29,"x8",29,13,10
100,29,"x9",29,25,24
100,29,"x10",24,23,19
100,29,"x11",26,11,1
100,29,"x12",29,2,0
100,29,"x13",24,23,17
100,29,"x14",27,22,14
100,30,"x1",29,21,20
100,30,"x2",27,13,4
100,30,"x3",29,19,14
100,30,"x4",28,20,12
100,30,"x5",28,21,20
100,30,"x6",29,28,26
100,30,"x7",10,2,1
100,30,"x8",27,26,24
100,30,"x9",17,0,0
100,30,"x10",25,24,20
100,30,"x11",19,0,0
100,30,"x12",18,16,11
100,30,"x13",29,26,20
100,30,"x14",13,11,0
100,31,"x1",20,12,0
100,31,"x2",24,20,18
100,31,"x3",20,17,2
100,31,"x4",26,24,18
100,31,"x5",25,23,11
100,31,"x6",24,16,8
100,31,"x7",26,13,6
100,31,"x8",22,11,8
100,31,"x9",25,21,0
100,31,"x10",27,20,18
100,31,"x11",26,14,13
100,31,"x12",24,9,0
100,31,"x13",25,23,16
100,31,"x14",29,23,19
100,32,"x1",28,18,17
100,32,"x2",12,0,0
100,32,"x3",5,0,0
100,32,"x4",23,0,0
100,32,"x5",28,26,25
100,32,"x6",24,22,17
100,32,"x7",29,26,19
100,32,"x8",28,19,16
100,32,"x9",22,20,8
100,32,"x10",22,0,0
100,32,"x11",29,0,0
100,32,"x12",25,24,21
100,32,"x13",28,26,17
100,32,"x14",13,6,1
100,33,"x1",3,0,0
100,33,"x2",25,18,7
100,33,"x3",15,10,3
100,33,"x4",NA,NA,NA
100,33,"x5",26,23,20
100,33,"x6",29,23,22
100,33,"x7",24,22,20
100,33,"x8",29,28,21
100,33,"x9",29,11,0
100,33,"x10",28,22,14
100,33,"x11",28,19,14
100,33,"x12",21,0,0
100,33,"x13",28,23,21
100,33,"x14",28,24,11
100,34,"x1",29,27,20
100,34,"x2",29,28,22
100,34,"x3",26,25,23
100,34,"x4",21,20,7
100,34,"x5",13,2,0
100,34,"x6",26,13,12
100,34,"x7",0,0,0
100,34,"x8",29,27,20
100,34,"x9",19,0,0
100,34,"x10",20,18,6
100,34,"x11",18,3,0
100,34,"x12",29,28,19
100,34,"x13",25,24,22
100,34,"x14",29,28,25
100,35,"x1",0,0,0
100,35,"x2",15,1,0
100,35,"x3",29,28,18
100,35,"x4",27,26,16
100,35,"x5",26,10,0
100,35,"x6",29,28,24
100,35,"x7",24,23,0
