"size","sim","serie","p1","p2","p3"
100,29,"x6",21,14,12
100,29,"x7",28,0,0
100,29,"x8",25,24,21
100,29,"x9",27,17,0
100,29,"x10",17,3,2
100,29,"x11",28,23,21
100,29,"x12",21,15,5
100,29,"x13",29,27,24
100,29,"x14",27,26,23
100,30,"x1",28,21,14
100,30,"x2",18,0,0
100,30,"x3",28,27,23
100,30,"x4",28,14,0
100,30,"x5",19,0,0
100,30,"x6",23,7,0
100,30,"x7",4,1,0
100,30,"x8",23,13,2
100,30,"x9",29,18,0
100,30,"x10",23,14,6
100,30,"x11",23,21,0
100,30,"x12",27,1,0
100,30,"x13",27,15,4
100,30,"x14",26,24,10
100,31,"x1",26,23,22
100,31,"x2",22,2,0
100,31,"x3",25,19,17
100,31,"x4",25,20,17
100,31,"x5",26,25,21
100,31,"x6",27,13,3
100,31,"x7",15,8,0
100,31,"x8",29,24,20
100,31,"x9",12,10,0
100,31,"x10",23,21,12
100,31,"x11",23,20,15
100,31,"x12",29,28,24
100,31,"x13",25,12,5
100,31,"x14",4,2,0
100,32,"x1",23,20,13
100,32,"x2",7,2,0
100,32,"x3",29,5,2
100,32,"x4",29,11,4
100,32,"x5",29,28,27
100,32,"x6",29,27,21
100,32,"x7",18,17,16
100,32,"x8",27,2,1
100,32,"x9",28,15,10
100,32,"x10",25,23,15
100,32,"x11",18,0,0
100,32,"x12",21,9,2
100,32,"x13",27,26,22
100,32,"x14",29,27,25
100,33,"x1",29,23,16
100,33,"x2",17,10,3
100,33,"x3",27,2,1
100,33,"x4",18,16,0
100,33,"x5",13,3,0
100,33,"x6",29,26,22
100,33,"x7",29,28,7
100,33,"x8",28,17,8
100,33,"x9",28,24,12
100,33,"x10",27,25,15
100,33,"x11",24,9,0
100,33,"x12",26,21,1
100,33,"x13",1,0,0
100,33,"x14",21,2,0
100,34,"x1",16,0,0
100,34,"x2",27,26,21
100,34,"x3",21,12,2
100,34,"x4",26,9,0
100,34,"x5",3,0,0
100,34,"x6",20,17,3
100,34,"x7",24,1,0
100,34,"x8",27,26,19
100,34,"x9",29,22,15
100,34,"x10",28,23,15
100,34,"x11",26,0,0
100,34,"x12",29,27,24
100,34,"x13",29,6,2
100,34,"x14",14,1,0
100,35,"x1",8,0,0
100,35,"x2",27,25,2
100,35,"x3",15,14,3
100,35,"x4",27,25,6
100,35,"x5",27,23,11
100,35,"x6",25,24,21
100,35,"x7",0,0,0
100,35,"x8",28,20,11
100,35,"x9",20,11,9
100,35,"x10",13,9,5
100,35,"x11",21,0,0
100,35,"x12",28,23,22
100,35,"x13",24,14,9
100,35,"x14",23,22,18
100,36,"x1",21,3,1
100,36,"x2",10,5,2
100,36,"x3",21,20,10
100,36,"x4",0,0,0
100,36,"x5",28,27,25
100,36,"x6",19,2,0
100,36,"x7",27,24,22
100,36,"x8",11,6,2
100,36,"x9",23,10,4
100,36,"x10",28,23,18
100,36,"x11",18,6,0
100,36,"x12",13,10,3
100,36,"x13",29,24,0
100,36,"x14",29,24,2
100,37,"x1",25,22,4
100,37,"x2",23,2,0
100,37,"x3",13,7,5
100,37,"x4",2,0,0
100,37,"x5",17,3,0
100,37,"x6",19,18,11
100,37,"x7",27,15,4
100,37,"x8",26,13,7
100,37,"x9",27,26,7
100,37,"x10",28,25,9
100,37,"x11",29,24,23
100,37,"x12",27,25,1
100,37,"x13",28,22,20
100,37,"x14",17,12,2
100,38,"x1",21,16,8
100,38,"x2",18,14,0
100,38,"x3",28,16,9
100,38,"x4",27,25,20
100,38,"x5",28,11,0
100,38,"x6",25,18,3
100,38,"x7",28,26,25
100,38,"x8",22,12,8
100,38,"x9",27,25,12
100,38,"x10",26,18,15
100,38,"x11",25,1,0
100,38,"x12",28,0,0
100,38,"x13",26,22,1
100,38,"x14",29,21,18
100,39,"x1",19,17,12
100,39,"x2",27,17,2
100,39,"x3",27,21,2
100,39,"x4",0,0,0
100,39,"x5",10,3,0
100,39,"x6",25,3,2
100,39,"x7",25,14,11
100,39,"x8",1,0,0
100,39,"x9",11,10,0
100,39,"x10",27,23,22
100,39,"x11",28,0,0
100,39,"x12",25,0,0
100,39,"x13",29,26,24
100,39,"x14",27,1,0
100,40,"x1",17,13,7
100,40,"x2",25,3,2
100,40,"x3",28,27,18
100,40,"x4",28,11,1
100,40,"x5",27,26,18
100,40,"x6",3,2,0
100,40,"x7",20,10,1
100,40,"x8",29,24,10
100,40,"x9",11,1,0
100,40,"x10",25,23,19
100,40,"x11",25,21,16
100,40,"x12",6,2,1
100,40,"x13",19,7,2
100,40,"x14",6,3,1
100,41,"x1",25,24,7
100,41,"x2",29,26,14
100,41,"x3",7,2,1
100,41,"x4",26,23,2
100,41,"x5",29,12,5
100,41,"x6",29,5,0
100,41,"x7",17,8,7
100,41,"x8",7,1,0
100,41,"x9",23,15,7
100,41,"x10",25,22,9
100,41,"x11",27,0,0
100,41,"x12",1,0,0
100,41,"x13",16,5,3
100,41,"x14",27,21,9
100,42,"x1",28,17,16
100,42,"x2",15,14,0
100,42,"x3",29,24,17
100,42,"x4",23,14,0
100,42,"x5",24,3,1
100,42,"x6",29,27,23
100,42,"x7",26,20,18
100,42,"x8",28,27,19
100,42,"x9",26,25,11
100,42,"x10",25,24,18
100,42,"x11",28,13,11
100,42,"x12",28,22,17
100,42,"x13",26,11,1
100,42,"x14",11,4,1
100,43,"x1",29,3,2
100,43,"x2",29,2,1
100,43,"x3",24,20,17
100,43,"x4",29,28,27
100,43,"x5",0,0,0
100,43,"x6",28,26,24
100,43,"x7",20,12,1
100,43,"x8",25,1,0
100,43,"x9",27,26,14
100,43,"x10",29,27,23
100,43,"x11",17,3,0
100,43,"x12",25,1,0
100,43,"x13",24,5,2
100,43,"x14",23,7,2
100,44,"x1",23,18,5
100,44,"x2",29,19,14
100,44,"x3",24,2,1
100,44,"x4",25,0,0
100,44,"x5",29,28,21
100,44,"x6",18,12,10
100,44,"x7",15,1,0
100,44,"x8",1,0,0
100,44,"x9",0,0,0
100,44,"x10",29,16,3
100,44,"x11",28,25,0
100,44,"x12",29,25,23
100,44,"x13",18,3,1
100,44,"x14",2,0,0
100,45,"x1",20,16,13
100,45,"x2",28,23,2
100,45,"x3",27,10,2
100,45,"x4",23,16,6
100,45,"x5",28,12,0
100,45,"x6",29,26,11
100,45,"x7",19,1,0
100,45,"x8",20,1,0
100,45,"x9",19,16,10
100,45,"x10",26,23,13
100,45,"x11",29,18,17
100,45,"x12",21,6,4
100,45,"x13",29,1,0
100,45,"x14",28,23,19
100,46,"x1",29,28,20
100,46,"x2",23,21,9
100,46,"x3",27,23,2
100,46,"x4",25,21,17
100,46,"x5",27,24,3
100,46,"x6",29,22,19
100,46,"x7",15,1,0
100,46,"x8",11,1,0
100,46,"x9",12,11,1
100,46,"x10",26,21,14
100,46,"x11",25,7,0
100,46,"x12",3,1,0
100,46,"x13",25,20,16
100,46,"x14",26,25,19
100,47,"x1",29,23,21
100,47,"x2",24,10,6
100,47,"x3",28,2,1
100,47,"x4",29,26,10
100,47,"x5",6,0,0
100,47,"x6",28,24,2
100,47,"x7",10,1,0
100,47,"x8",25,17,5
100,47,"x9",27,12,1
100,47,"x10",28,19,7
100,47,"x11",26,22,17
100,47,"x12",20,2,1
100,47,"x13",25,24,22
100,47,"x14",28,26,24
100,48,"x1",29,20,11
100,48,"x2",27,3,2
100,48,"x3",28,24,14
100,48,"x4",18,0,0
100,48,"x5",28,14,11
100,48,"x6",19,15,10
100,48,"x7",14,1,0
100,48,"x8",26,19,12
100,48,"x9",27,26,22
100,48,"x10",29,28,27
100,48,"x11",14,3,0
100,48,"x12",25,1,0
100,48,"x13",29,28,19
100,48,"x14",24,10,2
100,49,"x1",18,12,10
100,49,"x2",10,0,0
100,49,"x3",29,26,9
100,49,"x4",16,0,0
100,49,"x5",29,21,15
100,49,"x6",15,2,0
100,49,"x7",29,5,1
100,49,"x8",18,16,4
100,49,"x9",22,12,1
100,49,"x10",29,18,16
100,49,"x11",28,27,1
100,49,"x12",29,1,0
100,49,"x13",27,17,13
100,49,"x14",21,19,16
100,50,"x1",29,25,24
100,50,"x2",28,19,2
100,50,"x3",29,15,14
100,50,"x4",21,0,0
100,50,"x5",27,26,22
100,50,"x6",29,27,21
100,50,"x7",17,0,0
100,50,"x8",29,28,27
100,50,"x9",26,21,11
100,50,"x10",28,27,18
100,50,"x11",25,24,16
100,50,"x12",24,4,0
100,50,"x13",29,26,2
100,50,"x14",24,21,6
100,51,"x1",11,3,2
100,51,"x2",26,16,9
100,51,"x3",2,1,0
100,51,"x4",0,0,0
100,51,"x5",24,0,0
100,51,"x6",25,5,3
100,51,"x7",6,0,0
100,51,"x8",25,14,1
100,51,"x9",24,15,11
100,51,"x10",27,23,9
100,51,"x11",27,9,4
100,51,"x12",26,17,7
100,51,"x13",28,25,21
100,51,"x14",29,9,0
100,52,"x1",10,0,0
100,52,"x2",26,25,16
100,52,"x3",27,26,25
