"size","sim","serie","p1","p2","p3"
100,35,"x1",0,0,0
100,35,"x2",27,0,0
100,35,"x3",15,4,3
100,35,"x4",27,6,2
100,35,"x5",27,23,0
100,35,"x6",21,16,4
100,35,"x7",1,0,0
100,35,"x8",29,1,0
100,35,"x9",21,15,11
100,35,"x10",15,9,5
100,35,"x11",21,0,0
100,35,"x12",22,19,0
100,35,"x13",19,0,0
100,35,"x14",23,22,11
100,36,"x1",3,1,0
100,36,"x2",0,0,0
100,36,"x3",4,0,0
100,36,"x4",0,0,0
100,36,"x5",28,21,18
100,36,"x6",19,2,0
100,36,"x7",1,0,0
100,36,"x8",12,11,1
100,36,"x9",23,4,0
100,36,"x10",23,5,4
100,36,"x11",18,6,0
100,36,"x12",0,0,0
100,36,"x13",1,0,0
100,36,"x14",2,0,0
100,37,"x1",26,5,4
100,37,"x2",1,0,0
100,37,"x3",14,0,0
100,37,"x4",15,0,0
100,37,"x5",3,0,0
100,37,"x6",23,19,18
100,37,"x7",6,5,4
100,37,"x8",27,7,2
100,37,"x9",27,11,7
100,37,"x10",4,3,0
100,37,"x11",23,2,0
100,37,"x12",27,26,25
100,37,"x13",2,0,0
100,37,"x14",3,2,0
100,38,"x1",17,3,0
100,38,"x2",1,0,0
100,38,"x3",0,0,0
100,38,"x4",8,0,0
100,38,"x5",28,11,0
100,38,"x6",0,0,0
100,38,"x7",1,0,0
100,38,"x8",1,0,0
100,38,"x9",25,11,10
100,38,"x10",29,27,20
100,38,"x11",25,22,1
100,38,"x12",0,0,0
100,38,"x13",0,0,0
100,38,"x14",21,0,0
100,39,"x1",19,12,3
100,39,"x2",2,0,0
100,39,"x3",11,4,3
100,39,"x4",0,0,0
100,39,"x5",3,0,0
100,39,"x6",2,0,0
100,39,"x7",4,3,2
100,39,"x8",1,0,0
100,39,"x9",18,11,0
100,39,"x10",23,16,11
100,39,"x11",0,0,0
100,39,"x12",0,0,0
100,39,"x13",0,0,0
100,39,"x14",0,0,0
100,40,"x1",3,0,0
100,40,"x2",0,0,0
100,40,"x3",4,3,0
100,40,"x4",0,0,0
100,40,"x5",27,18,0
100,40,"x6",0,0,0
100,40,"x7",20,2,1
100,40,"x8",2,1,0
100,40,"x9",11,2,1
100,40,"x10",23,19,4
100,40,"x11",29,16,12
100,40,"x12",0,0,0
100,40,"x13",3,2,0
100,40,"x14",3,1,0
100,41,"x1",28,25,4
100,41,"x2",15,14,6
100,41,"x3",3,2,0
100,41,"x4",23,3,2
100,41,"x5",8,5,3
100,41,"x6",0,0,0
100,41,"x7",14,12,8
100,41,"x8",8,2,1
100,41,"x9",8,7,0
100,41,"x10",25,9,8
100,41,"x11",0,0,0
100,41,"x12",0,0,0
100,41,"x13",0,0,0
100,41,"x14",16,2,0
100,42,"x1",13,3,2
100,42,"x2",0,0,0
100,42,"x3",18,3,0
100,42,"x4",23,14,0
100,42,"x5",3,2,1
100,42,"x6",2,0,0
